SARS-CoV-2 RNA Levels in Wastewater for Sewershed 496 Treatment plant in Tennessee
Date generated: Mon Oct 03 2022 15:27:36 GMT-0500 (Central Daylight Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-05-28,N/A
2022-05-29,N/A
2022-05-30,N/A
2022-05-31,1338681400.16
2022-06-01,1271261505.956
2022-06-02,1199223238.444
2022-06-03,1125193292.112
2022-06-04,1051798361.449
2022-06-05,981665140.941
2022-06-06,916894502.991
2022-06-07,857484031.659
2022-06-08,802998157.161
2022-06-09,753371982.688
2022-06-10,708633279.672
2022-06-11,668809819.545
2022-06-12,633929373.739
2022-06-13,604142370.62
2022-06-14,580089866.28
2022-06-15,562399582.753
2022-06-16,551155278.105
2022-06-17,546304719.411
2022-06-18,547795673.747
2022-06-19,555575908.187
2022-06-20,569593189.806
2022-06-21,589501182.676
2022-06-22,613857659.681
2022-06-23,641248373.997
2022-06-24,670339599.624
2022-06-25,699797610.563
2022-06-26,728288680.813
2022-06-27,754518878.068
2022-06-28,777353444.795
2022-06-29,796066618.224
2022-06-30,811409439.867
2022-07-01,824502152.309
2022-07-02,836464998.134
2022-07-03,848418219.925
2022-07-04,861482060.267
2022-07-05,876688153.718
2022-07-06,894438552.615
2022-07-07,913946100.816
2022-07-08,934368774.48
2022-07-09,955745679.419
2022-07-10,978336203.864
2022-07-11,1002399736.043
2022-07-12,1028195664.184
2022-07-13,1055883784.153
2022-07-14,1085225522.365
2022-07-15,1115882712.874
2022-07-16,1147517189.733
2022-07-17,1179790786.994
2022-07-18,1212365338.709
2022-07-19,1244902678.933
2022-07-20,1277203306.673
2022-07-21,1309622380.759
2022-07-22,1342653724.978
2022-07-23,1376791163.115
2022-07-24,1412528518.955
2022-07-25,1450292419.993
2022-07-26,1490240708.556
2022-07-27,1532036650.426
2022-07-28,1573633990.371
2022-07-29,1612559092.903
2022-07-30,1646338322.539
2022-07-31,1672498043.79
2022-08-01,1688083083.976
2022-08-02,1688212121.627
2022-08-03,1669118878.916
2022-08-04,1633423401.371
2022-08-05,1585342315.354
2022-08-06,1529092247.229
2022-08-07,1468889823.362
2022-08-08,1408565452.353
2022-08-09,1350404671.755
2022-08-10,1296098226.132
2022-08-11,1246502559.135
2022-08-12,1202265539.186
2022-08-13,1164035034.709
2022-08-14,1132458914.126
2022-08-15,1107702075.098
2022-08-16,1087997532.232
2022-08-17,1071272467.129
2022-08-18,1056162612.421
2022-08-19,1041480838.495
2022-08-20,1026040015.739
2022-08-21,1008653014.542
2022-08-22,988315812.311
2022-08-23,964756814.532
2022-08-24,938075650.931
2022-08-25,909124420.119
2022-08-26,878943337.929
2022-08-27,848572620.195
2022-08-28,819052482.749
2022-08-29,791228986.378
2022-08-30,765171571.686
2022-08-31,740732922.889
2022-09-01,717675318.848
2022-09-02,695738437.081
2022-09-03,674661955.107
2022-09-04,654185550.445
2022-09-05,634048900.614
2022-09-06,614118503.997
2022-09-07,594655122.469
2022-09-08,575594258.94
2022-09-09,556758396.36
2022-09-10,537970017.681
2022-09-11,519051605.852
2022-09-12,499854885.491
2022-09-13,480348547.875
2022-09-14,460530525.95
2022-09-15,440398752.658
2022-09-16,419951160.944
2022-09-17,399185683.751
2022-09-18,378100254.024
2022-09-19,356692804.707
2022-09-20,334961268.743
2022-09-21,312903579.077
2022-09-22,290517668.652
2022-09-23,267801470.412
2022-09-24,244752917.302
2022-09-25,221369942.265
2022-09-26,N/A
2022-09-27,N/A
2022-09-28,N/A
